trip_id,vendor_id,rate_code_id,pickup_location_id,dropoff_location_id,pickup_datetime,dropoff_datetime,passenger_count,trip_type,payment_type,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,ehail_fee,payment_name
6ffea0df489b3eb1e0c19c9dc3982a82,2,1,129,129,2019-01-01T00:32:25Z,2019-01-01T00:37:46Z,1,1,2,Green,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Cash
77fd697b5d7381e7c792fd30080ec8a2,2,1,112,255,2019-01-01T05:36:37Z,2019-01-01T05:41:55Z,5,1,2,Green,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Cash
d7271264e466ee20c2097d5ea940099a,2,1,82,260,2019-01-01T18:12:35Z,2019-01-01T18:17:38Z,1,1,1,Green,5.5,0.0,0.5,2.0,0.0,0.3,8.3,,Credit Card
5a2f93bd828d5b8fc4479aed0569bd4a,2,1,66,68,2019-01-01T21:43:41Z,2019-01-01T22:09:07Z,1,1,1,Green,22.0,0.5,0.5,4.66,0.0,0.3,27.96,,Credit Card
0d0674bfe596a20627deeb2222d544c0,1,1,25,261,2019-01-01T03:02:13Z,2019-01-01T03:27:51Z,1,1,1,Green,22.0,0.5,0.5,4.65,0.0,0.3,27.95,,Credit Card
fbf53d3d41e414c63abf60ecc23680cd,2,1,7,7,2019-01-01T04:21:51Z,2019-01-01T04:23:03Z,1,1,2,Green,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,Cash
3da8f82e619657eb8054b24107466329,2,1,131,49,2019-01-01T01:31:36Z,2019-01-01T01:59:43Z,1,1,1,Green,38.5,0.5,0.5,0.0,0.0,0.3,39.8,,Credit Card
3fbc5a150e76bd4522960c65e46e636e,2,1,37,7,2019-01-01T06:00:48Z,2019-01-01T06:18:00Z,1,1,1,Green,19.5,0.5,0.5,4.16,0.0,0.3,24.96,,Credit Card
7b544354f2583e65bebe71ced1df74f1,2,1,74,242,2019-01-01T15:00:19Z,2019-01-01T15:17:12Z,6,1,2,Green,19.5,0.0,0.5,0.0,0.0,0.3,20.3,,Cash
acb7b2bcf5d22a314dfb0d54756702f2,2,1,42,143,2019-01-01T01:01:56Z,2019-01-01T01:21:03Z,1,1,2,Green,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,Cash
2e1b9e643e2edb0f837e16d9f16fd2a1,2,1,75,95,2019-01-01T06:47:05Z,2019-01-01T07:10:48Z,1,1,2,Green,36.0,0.0,0.5,0.0,8.5,0.3,45.3,,Cash
7c5648b22886b7b035475690e55a2100,2,1,166,170,2019-01-01T16:02:07Z,2019-01-01T16:21:57Z,6,1,2,Green,17.0,0.0,0.5,0.0,0.0,0.3,17.8,,Cash
8eaf4ae8bdebdfd1e9ee4134316bda58,1,1,74,127,2019-01-01T01:44:34Z,2019-01-01T01:58:05Z,1,1,1,Green,17.0,0.5,0.5,0.0,0.0,0.3,18.3,,Credit Card
9cf1be4ce689601a83da9a26fc48b654,2,1,37,97,2019-01-01T04:03:40Z,2019-01-01T04:26:01Z,1,1,1,Green,17.0,0.5,0.5,3.66,0.0,0.3,23.91,,Credit Card
20013b93cb9f84132e06c8bea871bddd,2,1,255,231,2019-01-01T11:50:10Z,2019-01-01T12:04:47Z,1,1,1,Green,14.5,0.0,0.5,3.5,0.0,0.3,18.8,,Credit Card
d5ac202d044941ca25e187c635bdc9ac,2,1,95,92,2019-01-01T18:23:35Z,2019-01-01T18:34:12Z,1,1,2,Green,14.5,0.0,0.5,0.0,0.0,0.3,15.3,,Cash
9510f16b1007988f6033a18eca296f0d,1,1,82,223,2019-01-01T06:13:08Z,2019-01-01T06:24:30Z,1,1,2,Green,14.5,0.0,0.5,0.0,0.0,0.3,15.3,,Cash
2c2745a2c372d132652938aed6e6eb0b,2,1,196,28,2019-01-01T15:22:15Z,2019-01-01T15:33:42Z,1,1,2,Green,14.5,0.0,0.5,0.0,0.0,0.3,15.3,,Cash
